ID,Incipitnr,PIKaDo 823,PIKaDo 824
201003083, 1.1.1, c/;3/1, 6/1
201003084, 1.1.1, 3/1;c/, 6/1;4/2
201003086, 1.1.1, 3/1;c/, 6/1;4/2
201003088, 1.1.1, 3/1;c/, 6/1;4/2
201003089, 1.1.1, c;3/1, 4/2;6/1
201003090, 1.1.1, c;3/1, 4/2;6/1
201003090, 1.1.2, c;3/1, 4/2;6/1
201003093, 1.1.1, c/;3/4, 
201003095, 1.1.1, c/;3/4, 
201003127, 1.1.1, 2/4;c, 
201003148, 1.1.1, 2/4;6/8, 
201003170, 1.1.1, c;6/8, 
201003180, 1.1.1, 2/4;c/, 
201003271, 1.1.1, 3/8;2/4, 
201003278, 1.2.1, c;2/4, 
201003462, 1.1.1, c/;3/1, 0
201003501, 1.1.1, c/;3/2, 
201003512, 1.1.1, c/;3/1, 
201003527, 1.1.1, c 3/2;c, 3/2
201004005, 1.5.1, 12/8;c, 
201004005, 1.5.2, 12/8;c, 
201004006, 1.1.1, 3/4;2/4;6/8;6/8, 
201004006, 1.13.1, 3/4;c/, 
201004013, 1.4.1, 12/8;2/4;2/4, 
201004038, 1.1.1, c;3/2, 4/2
201004040, 1.15.1, c;3/4;c;3/4;c, 4/2
201004043, 1.3.1, c/;3/4;c/, 4/2;4/2
201004043, 1.6.1, c/;c/;3/1;c/, 4/2;4/2;4/2
201004045, 1.3.1, 12/8;c, 
