ID,Term,Alternativ
50001674,Zapateados,""
50001675,Ornament chart,""
50001677,Organ accompaniment,""
50001688,Postcommunions,
50001693,Sixth editions,Sechsten Ausgaben Sixièmes éditions Szóste wydanie Seste edizioni Sextas ediciones
50001699,Ocarina music,
50001700,Solos (voc.),
50001706,Arabesques,Arabesken
50001707,Moments musicaux,""
50001710,Sprechstücke,
50001711,Rundgesänge,Rundlieder
50001715,Musique informelle,
50001717,Notes,""
50001726,Cantadas,
50001732,Solo,""
50001734,Chormusik,""
50001735,Ensemble,""
50001737,Orchestral music,Orchestermusik
50001754,Schrammelmusik,""
50001758,Electronic music,Elektronische Musik
50001766,Games,
50001772,Biography,
50001773,Liturgical music,
50001786,Calypsos,
50001787,Art of singing,
50001802,Mystery plays,Mysterienspiele
50001803,School songs,Schullieder
50001804,Coronation music,Krönungsmusik
