ID, Model, Unicode-Character, Sample
Source,650002712,TABULATOR,"ily, big] [TABULATOR]$801=592"
Source,650002749,TABULATOR,way round][TABULATOR]$801=592
Source,650002751,TABULATOR,distinct] [TABULATOR]$801=592
Source,650002811,TABULATOR,and sword][TABULATOR]$801=592
Source,650002825,TABULATOR,uble beam][TABULATOR]$801=592
Source,650002964,TABULATOR,uble beam][TABULATOR]$801=592
Source,650002970,TABULATOR,Hildegard][TABULATOR]$801=592
Source,650002985,TABULATOR,an anchor][TABULATOR]$801=592
Source,650003013,TABULATOR,uble beam][TABULATOR]$801=592
Source,650003015,TABULATOR,uble beam][TABULATOR]$801=592
Source,650003016,TABULATOR,uble beam][TABULATOR]$801=592
Source,650003033,TABULATOR,uble beam][TABULATOR]$801=592
Source,650003087,TABULATOR, a circle][TABULATOR] $801=59
Source,650003100,TABULATOR,erial orb][TABULATOR]$801=592
Source,650003101,TABULATOR,ark: lily][TABULATOR]$801=592
Source,650003107,TABULATOR,l profile][TABULATOR]$801=592
Source,650003110,TABULATOR, a circle][TABULATOR]$801=592
Source,650003116,TABULATOR,with lily][TABULATOR]$802=592
Source,650003125,TABULATOR,uble beam][TABULATOR]$801=592
Source,650003148,TABULATOR,uble beam][TABULATOR]$801=592
Source,650003153,TABULATOR,uble beam][TABULATOR]$801=592
Source,650003202,TABULATOR,rk: crown][TABULATOR]$801=592
Source,650003203,TABULATOR,uble beam][TABULATOR]$801=592
Source,650003206,TABULATOR,uble beam][TABULATOR]$801=592
Source,650003243,TABULATOR,t of arms][TABULATOR]$801=592
Source,650003306,TABULATOR,"ily, big] [TABULATOR]$801=592"
Source,650003400,TABULATOR,ark: lily][TABULATOR]$801=592
Source,650003415,TABULATOR,uble beam][TABULATOR]$801=592
Source,650003445,TABULATOR,schrieben [TABULATOR]$802=500
Source,650003473,TABULATOR,uble beam][TABULATOR]$801=592
Source,650003477,TABULATOR,dig lions][TABULATOR]$801=592
Source,650003493,TABULATOR,uble beam][TABULATOR]$801=592
Source,650003545,TABULATOR,way round][TABULATOR]$801=592
Source,650003581,TABULATOR, a circle][TABULATOR] $801=59
Source,650003621,TABULATOR,"ily, big] [TABULATOR]$801=592"
Source,650003659,TABULATOR,uble beam][TABULATOR]$801=592
Source,650003681,TABULATOR,uble beam][TABULATOR]$801=592
