SIGNATUR,KOMPONIST,EINORDNUNGSTITEL,300$a,590$b,RISM-ID,INDEX
Mus.1186/1,"Benda, Franz","Sonatas - vl, vlc; LeeB 3.122",4 parts,"2, 1, 2, 2f.",240001060,01
Mus.1186/3,"Benda, Franz","Sonatas - vl, cemb; LeeB 3.125",2 parts,"2, 2f.",240001061,01
Mus.1172,"Graun, Johann Gottlieb","Sonatas - vl (2), b; LeeB 4.3",3 parts,"2, 2, 2f.",240001062,01
Mus.1167,"Benda, Franz","Sonatas - fl (2), b; LeeB 4.1",3 parts,"2, 2, 2f.",240001063,01
Mus.1171,"Benda, Franz","Sonatas - vl (2), b; LeeB 4.4",3 parts,"2, 2, 2f.",240001064,01
Mus.1182,"Benda, Friedrich Ludwig","Die Religion - V (4), Coro, orch",score: 150f.,"",240001065,01
"","","",31 parts,"34, 18, 11, 11, 15, 12, 12, 18, 12, 11, 16, 14, 10, 18, 19, 18, 18, 18, 20, 20, 20, 8, 8, 9, 9, 8, 8, 8, 2, 2, 2f.","",02
Mus.1179,"Benda, Friedrich Ludwig","Herr die Fürstin freuet sich in deiner Kraft - V (4), Coro, orch",25 parts,"16, 1 f., 10 f., 9, 8 f., 9 f., 8, 8 f., 9 f., 8 f., 11 f., 11 f., 10 f., 11 f., 10, 1 f., 4 f., 4 f., 5 f., 5 f., 2 f., 2 f., 4 f., 4 f., 3 f., 2 f., 2 f.",240001066,01
Mus.1177,"Benda, Friedrich Ludwig","Mit Fried und Freuden fuhr er hin - V (4), Coro, orch, bc",1 score: 120 f.,"",240001067,01
"","","",23 parts,"28 p., 16 p., 12 p., 16 p., 28 p., 8 p., 14 p., 12 p., 30 p., 28 p., 28 p., 28 p., 28 p,, 12 p., 12 p., 16 p., 10 p., 12 p., 10 p., 8 p., 4 p., 4 p., 4 p.","",02
"","","",3 parts,"20 p., 4 p., 12 p.","",03
Mus.1180,"Benda, Friedrich Ludwig","Wie groß ist des Allmächtigen Güte - V (4), Coro, orch",score: 185f.,"",240001068,01
"","","",27 parts,"39, 21, 34, 21, 20, 20, 14, 10, 20, 14, 8, 17, 19, 19, 22, 20, 19, 6, 6, 14, 7, 16, 6, 6, 2, 2, 2f.","",02
Mus.1183,"Benda, Georg","Das Andenken an die Erlösung des Gottmenschen - V (4), Coro, orch",21 parts,"10, 8, 8, 7, 5, 5, 6, 8, 8, 6, 6, 7, 6, 6, 3, 2, 2, 1, 1, 1, 1f.",240001069,01
Mus.1178,"Benda, Friedrich Ludwig","Der Herr ist König des freue sich das Erdreich - V (2), Coro, orch",score: 82f.,"",240001070,01
"","","",28 parts,"14, 12, 10, 10, 12, 11, 10, 10, 10, 10, 9, 9, 7, 7, 9, 9, 6, 6, 7, 7, 5, 3, 2, 4, 7, 3, 3, 2f.","",02
Mus.1181,"Benda, Friedrich Ludwig","Der Tod - V (4), Coro, orch",score: 176f.,"",240001071,01
"","","",29 parts,"22, 22, 22, 14, 14, 20, 22, 14, 11, 11, 10, 20, 16, 16, 16, 20, 20, 20,, 8, 8, 6, 6, 6, 6, 7, 7, 2, 2, 2f.","",02
Mus.1187,"Benda, Friedrich Ludwig",Symphonies - LorB 763,score: 27f.,"",240001072,01
Mus.1188,"Benda, Friedrich",2 Symphonies - LorB 320,16 parts,"6, 7, 7, 7, 7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2f.",240001073,01
Mus.1184,"Benda, Friedrich Ludwig","Sonatas - vl, b",score: 5f.,"",240001074,01
Mus.1199/2,"Benda, Georg",Allegro - pf,1 part,2f.,240001075,01
Nr.3 in Mus.4758 J Bd. 1,"Benda, Georg","Bringt ihm auf den Altären - V (4), Coro, orch; LorB 524",score: 14f.,"",240001076,01
Nr.5 in Mus.4758 J Bd. 1,"Benda, Georg","Eröffnet die Tore der Held ist gekommen - V (2), Coro, orch",score: 15f.,"",240001077,01
Mus.1200,"Benda, Georg","Herr deine Güte reichet so weit - V (2), Coro, orch",score: 4f.,"",240001078,01
Nr.4 in Mus.4758 J Bd. 1,"Benda, Georg","Herr nun lässest du deinen Diener - V (3), Coro, orch; LorB deest",score: 11f.,"",240001079,01
Nr.6 in Mus.4758 J Bd. III,"Benda, Georg","Herr sende den Schöpfer der Tugend - V (3), Coro, orch",score: 15f.,"",240001080,01
Mus.1192a,"Benda, Georg",Der Jahrmarkt,"2 scores: 130, 188f.","",240001081,01
"","","",27 parts,"4, 4, 14, 9, 4, 4, 4, 2, 2, 2, 13, 13, 13, 13, 12, 12, 12, 12,, 4, 4, 2, 2, 2, 2, 2, 2, 1f.","",02
Mus.1199/1,"Benda, Georg",Fantasies - pf,1 part,2f.,240001082,01
Mus.1196b,"Benda, Georg","Sonatas - pf, vl (2), vla, vlc; LorB 623b",5 parts,"2, 2, 2, 2, 8f.",240001083,01
Mus.1198,"Benda, Georg","Symphonies - strings, brasses, bc; LorB 659",6 parts,"2, 2, 2, 2, 1, 1f.",240001084,01
Mus.1194,"Benda, Georg","Walder - V (6), Coro; LorB 482",score: 215f.,"",240001085,01
Mus.1194,"Benda, Georg","Walder - V (5), orch; LorB 482",score: 44f.,"",240001086,01
"","","",19 parts,"11, 10, 13, 10,, 36, 27, 28, 29, 25, 24, 27, 26, 6, 6, 8, 9, 10, 10, 6f.","",02
Mus.863,"Jommelli, Niccolò","Symphonies - strings, brasses, cemb; WarB C Inc 1",6 parts,"4, 4, 2, 2, 1, 1f.",240001087,01
Mus.1212 A,"Bernardi, Bartolomeo","Sonatas - vl, b",score: 11f.,"",240001088,01
Mus.1220,"Bernasconi, Andrea","Artaserse - Excerpts; S, strings, bc",score: 6f.,"",240001089,01
