001	852$c	500$a	500$a	856$u	856$x	856$z
00000990047207	g.12./13		Title information: Nicolai's 2d. sonata, opa. IIId. Bland's collection of sonatas, lessons, overtures, capricios, divertimentos &c. &c. for the harpsichord or piano forte, without accompts. by the most esteem'd composers. London: Printed & sold by J. Bland at his music warehouse, 45 Holborn, [ca. 1790]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01016028060	Other	Description in British Library catalogue
00000990048348	D.205.s.		Title information: Offertoria totius anni .. quinque vocibus concinenda. Venetijs: Apud Angelum Gardanum, 1596.	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004567413	Other	Description in British Library catalogue
00000990048717	K.2.d.12.	Copy at K.2.d.12. Imperfect: wanting all before C 2 and after F 4. The title page and index are supplied in manuscript.	Title information: Private musicke. Or The first booke of ayres and dialogues. London: Printed by Thomas Snodham, 1620.	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013670359	Other	Description in British Library catalogue
00000990048977	Hirsch II.713.		Title information: Le musiche di Iacopo Peri, nobil fiorentino sopra l'Euridice del Sig. Ottavio Rinuccini. In Fiorenza: Appresso Giorgio Marescotti, MDC [1600]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004576248	Other	Description in British Library catalogue
00000990048978	K.1.i.4.		Title information: Le musiche di Jacopo Peri, nobil fiorentino sopra l'Euridice del Sig. Ottavio Rinuccini. In Venetia: Appresso Alessandro Raverii, M.D.CVIII [1608]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004576250	Other	Description in British Library catalogue
00000990050093	G.806.d.(46.)		Title information: Love thou pleasing teazing Power. A favorite New Song for the Piano Forte or Harpsichord. London: Longman and Broderip, [1795?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004585062	Other	Description in British Library catalogue
00000990050145	G.383.j.(25.)		Title information: Tho' pity I cannot deny. A favorite Song sung by Mrs. Crouch in the Haunted Tower, etc. [London]: Longman & Broderip, [1790?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004584829	Other	Description in British Library catalogue
00000990050266	g.474.i.(3.)		Title information: Divertisment concertants a deux Violins, deux Altos, et Hautbois, Violoncello et Basse, et deux Cors adlibitum. [Parts.]. London: Longman and Broderip, [1793?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004585043	Other	Description in British Library catalogue
00000990050513	h.2782.a.(9.)		Title information: Quintetto à deux Violons Viola et Violoncelle. No. 2. [Parts.]. Offenbach sur le Mein: Chez I. André, [1788?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004585042	Other	Description in British Library catalogue
00000990050749	g.410.d.(3.)		Title information: An eighth sett of six quartettos [C, B, e, A, G, f] for two violins, tenor & violoncello .. dedicated to the King of Naples .. op. 23. [Parts.]. London: Printed for W. Forster, [WM 1795]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004584861	Other	Description in British Library catalogue
00000990050774	h.318.g.		Title information: Six Quatuors pour 2 Violons, Alto, & Violoncelle .. Oeuvrexxxiv Livrei [ii]. Vienne: Chez Hoffmeister, [1791]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004584860	Other	Description in British Library catalogue
00000990050872	h.2830.m.(5.)		Title information: Douze quatuors concertans dédiés au roi de Prusse .. Arrangés pour flute, violon, alto et basse, par F. Devienne. [Parts.]. Paris: Chez Janet et Cotelle, [1815?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004584820	Other	Description in British Library catalogue
00000990050887	h.318.f.(1.)		Title information: Three Quartets for a Flute, Violin, Tenor & Violoncello, performed at the Professional Concert Hanover Square .. Op. [xxv.] [Parts.]. London: Printed by Longman & Broderip, [1789]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004584865	Other	Description in British Library catalogue
00000990050921	h.318.ff.(1.)		Title information: Three Trios concertants, for a Violin, Viola, and Violoncello .. Op.xi. [Parts.]. London: J. Bland, [c. 1790]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004585075	Other	Description in British Library catalogue
00000990050927	g.85.f.(1.)		Title information: Trois Trios a Violon, Viola & Violoncelle .. Oeuvrexiii. lib.i. [Parts.]. Berlin, Amsterdam: Chez J. J. Hummel, [1791?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004585077	Other	Description in British Library catalogue
00000990050929	h.2851.j.(10.)		Title information: Trois trios concertans pour violon, alto et basse. Œuvre xe. [Parts.]. Paris: Chez Imbault, [1788]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004585074	Other	Description in British Library catalogue
00000990051179	g.161.h.(3.)		Title information: Three [or rather twelve] Grand Sonatas for the Piano-Forte or Harpsichord. With Accompanyments for a Violin and Violoncello, in which are introduced .. Select Scotch Airs, and Favorite Pieces, etc. [Parts.]. London: J. Dale, [1794-98]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004584954	Other	Description in British Library catalogue
